algorithm,num_agents,num_tasks,seed,success,iterations,total_distance,tasks_completed,productive_agents,unproductive_agents
greedy,15,10,14,True,4,162.41919907343225,10,8,7
greedy,15,10,15,True,13,535.7784751114075,10,8,7
greedy,15,10,16,True,4,161.17003487179377,10,7,8
greedy,15,10,17,True,3,125.08268165365965,10,7,8
greedy,15,10,18,True,9,376.754949577717,10,7,8
greedy,15,10,19,True,6,247.62964763596779,10,5,10
greedy,15,10,20,True,9,373.7810619471097,10,7,8
greedy,15,10,21,True,5,202.54428071400145,10,7,8
greedy,15,10,22,True,5,204.44015033711247,10,7,8
greedy,15,10,23,True,11,455.73217483134533,10,6,9
greedy,15,10,24,True,7,289.51317017214615,10,6,9
greedy,15,10,25,True,8,329.64860160412974,10,7,8
greedy,15,10,26,True,4,163.70645336885775,10,8,7
greedy,15,10,27,True,4,163.54138331092338,10,9,6
greedy,15,10,28,True,5,202.14285398453111,10,8,7
greedy,15,10,29,True,6,250.1930329409168,10,8,7
fixed_pso,15,10,0,True,7,284.37468591575475,10,6,9
fixed_pso,15,10,1,True,5,196.80553086415244,10,7,8
fixed_pso,15,10,2,True,7,274.57196368239846,10,8,7
fixed_pso,15,10,3,True,4,159.36369859227682,10,8,7
fixed_pso,15,10,4,True,9,366.10053891520045,10,7,8
fixed_pso,15,10,5,True,4,157.1489877896387,10,9,6
fixed_pso,15,10,6,True,7,287.45580773957954,10,8,7
fixed_pso,15,10,7,True,7,286.3110197074741,10,9,6
fixed_pso,15,10,8,True,9,366.55568578774006,10,8,7
fixed_pso,15,10,9,True,8,323.2608470700009,10,8,7
fixed_pso,15,10,10,True,9,372.6243210655939,10,7,8
fixed_pso,15,10,11,True,8,317.33730316008626,10,9,6
fixed_pso,15,10,12,True,5,198.18878264629703,10,8,7
fixed_pso,15,10,13,True,10,406.59731277740906,10,7,8
fixed_pso,15,10,14,True,5,193.03933360314034,10,8,7
fixed_pso,15,10,15,True,13,538.3334627512215,10,7,8
fixed_pso,15,10,16,True,5,202.0111629919605,10,8,7
fixed_pso,15,10,17,True,5,195.35112476770738,10,8,7
fixed_pso,15,10,18,True,9,366.5754193629455,10,6,9
fixed_pso,15,10,19,True,8,327.1562572535327,10,7,8
fixed_pso,15,10,20,True,9,366.4254026187141,10,8,7
fixed_pso,15,10,21,True,6,238.46046000524672,10,7,8
fixed_pso,15,10,22,True,5,196.81656370563212,10,9,6
fixed_pso,15,10,23,True,11,445.328571732097,10,8,7
fixed_pso,15,10,24,True,9,369.18125760678583,10,7,8
fixed_pso,15,10,25,True,7,284.8427768078819,10,9,6
fixed_pso,15,10,26,True,4,158.36541237764047,10,8,7
fixed_pso,15,10,27,True,6,239.68784015073012,10,9,6
fixed_pso,15,10,28,True,6,235.69347189259557,10,8,7
fixed_pso,15,10,29,True,7,286.62856037530554,10,7,8
dynamic_pso,15,10,0,True,7,283.8732238546567,10,6,9
dynamic_pso,15,10,1,True,5,194.71229094417095,10,8,7
dynamic_pso,15,10,2,True,7,272.22267343409163,10,8,7
dynamic_pso,15,10,3,True,4,158.25192553433732,10,8,7
dynamic_pso,15,10,4,True,9,364.8976826779669,10,8,7
dynamic_pso,15,10,5,True,4,156.8559408195631,10,9,6
dynamic_pso,15,10,6,True,7,286.1495841298985,10,8,7
dynamic_pso,15,10,7,True,7,285.1702521126763,10,9,6
dynamic_pso,15,10,8,True,11,446.1489053150356,10,9,6
dynamic_pso,15,10,9,True,8,323.71038044865355,10,8,7
dynamic_pso,15,10,10,True,9,370.928456953019,10,7,8
dynamic_pso,15,10,11,True,8,314.3135080693905,10,8,7
dynamic_pso,15,10,12,True,5,196.58691570601255,10,8,7
dynamic_pso,15,10,13,True,10,405.03126875735165,10,8,7
dynamic_pso,15,10,14,True,5,194.30328478140035,10,8,7
dynamic_pso,15,10,15,True,13,537.33298458321,10,7,8
dynamic_pso,15,10,16,True,5,200.69828196813273,10,8,7
dynamic_pso,15,10,17,True,5,192.8105404215129,10,8,7
dynamic_pso,15,10,18,True,9,364.04841625625045,10,6,9
dynamic_pso,15,10,19,True,8,326.2379990097172,10,7,8
dynamic_pso,15,10,20,True,9,364.3078855285155,10,8,7
dynamic_pso,15,10,21,True,6,238.0341316857883,10,7,8
dynamic_pso,15,10,22,True,5,193.66361432165888,10,8,7
dynamic_pso,15,10,23,True,11,442.6360365107489,10,8,7
dynamic_pso,15,10,24,True,9,366.68133884695385,10,7,8
dynamic_pso,15,10,25,True,7,283.0625101520472,10,9,6
dynamic_pso,15,10,26,True,4,157.25703931880042,10,8,7
dynamic_pso,15,10,27,True,5,199.26548188707505,10,9,6
dynamic_pso,15,10,28,True,6,233.91779533190874,10,8,7
dynamic_pso,15,10,29,True,7,284.54478170214657,10,7,8
greedy,20,10,0,True,6,326.4349857998644,10,8,12
greedy,20,10,1,True,2,110.43342270353372,10,7,13
greedy,20,10,2,True,2,105.17991902405792,10,9,11
greedy,20,10,3,True,7,382.3935446647568,10,7,13
greedy,20,10,4,True,3,154.3942981716077,10,9,11
greedy,20,10,5,True,3,161.390001881516,10,9,11
greedy,20,10,6,True,3,162.6760941258396,10,8,12
greedy,20,10,7,True,3,163.75330866957634,10,9,11
greedy,20,10,8,True,8,440.64181520429906,10,8,12
greedy,20,10,9,True,4,217.64108388939616,10,8,12
greedy,20,10,10,True,5,275.82929362156716,10,7,13
greedy,20,10,11,True,4,218.41111259281897,10,7,13
greedy,20,10,12,True,6,331.5156305183278,10,8,12
greedy,20,10,13,True,7,389.43416188863296,10,6,14
greedy,20,10,14,True,5,268.50876737719886,10,8,12
greedy,20,10,15,True,12,661.5755876147625,10,8,12
greedy,20,10,16,True,3,161.2525353160075,10,10,10
greedy,20,10,17,True,3,164.63359442076919,10,7,13
greedy,20,10,18,True,9,500.23469290423714,10,7,13
greedy,20,10,19,True,5,274.5958431838376,10,6,14
greedy,20,10,20,True,4,220.4756977284519,10,10,10
greedy,20,10,21,True,5,270.7536156846642,10,8,12
greedy,20,10,22,True,5,274.35682130919616,10,8,12
greedy,20,10,23,True,5,278.3116753136968,10,8,12
greedy,20,10,24,True,3,162.67252510241752,10,10,10
greedy,20,10,25,True,4,218.29485469906322,10,8,12
