seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
3,2b287e1ca6dbe51a24893c7a8f39cb821fad66d6441d6040b6e3bdfc80eb40e8,0.2,5;9;10,event_global,1,21,177.0,0,0.0,1.2233016539976234,21,12,1560,1560,0
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.2,0;2;12,repeated,1,33,272.0,2,0.0,3.6244810620119097,33,33,3792,3792,0
4,cdbdf308308dd71e329118a2a893e15624480f1b166789148f15f5570f62b09f,0.2,0;2;12,event_global,1,33,272.0,2,0.0,3.0376903879950987,33,17,2253,2253,0
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.2,6;9;14,repeated,1,31,247.0,0,0.0,8.752959851990454,31,31,3576,3576,0
5,084842ed1c0283d8869644d15d61f080bbc611ac9eed102df56952f8d59f0d98,0.2,6;9;14,event_global,1,31,247.0,0,0.0,3.0089581219945103,31,13,1494,1494,0
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,0.2,3;7;14,repeated,1,28,239.0,1,0.0,3.7808784380031284,28,28,3567,3567,0
6,ab571899befc6e625b077ab5562b411484b2d802dfcdaab3537961193a88bc99,0.2,3;7;14,event_global,1,28,239.0,1,0.0,2.004899901992758,28,15,2130,2130,0
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,0.2,6;11;13,repeated,1,29,197.0,1,0.0,3.0077985469979467,29,29,2979,2979,0
7,d44613e0ff50096643de7759e2a6ff9b9a38dacb8e42f7147d011d58eac06768,0.2,6;11;13,event_global,1,29,197.0,1,0.0,1.9314353039953858,29,14,1875,1875,0
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.2,7;10;11,repeated,1,36,233.0,0,0.0,4.6529235589987366,36,36,3297,3297,0
8,f894db0ca9ffeb2a03a0c98851209adc13b5620ca80fd367086baecdae577100,0.2,7;10;11,event_global,1,36,233.0,0,0.0,3.5702980189962545,36,16,2121,2121,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.2,1;3;13,repeated,1,22,191.0,1,0.0,3.5360693230031757,22,22,2721,2721,0
9,c5b68cda855df34a54ff5824e57bf17637fe3922358404968f0ffe872081a926,0.2,1;3;13,event_global,1,22,191.0,1,0.0,2.093676532007521,22,13,1677,1677,0
10,dcc1a9f295482eda76eb9995bd9ae4eb1c4d01b44d5dc6ed52ad323e90716ac1,0.2,5;6;7,repeated,1,32,295.0,2,0.0,3.566046122010448,32,32,4383,4383,0
