seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,failure_rate,failure_iteration,failed_agent_count,failed_agent_ids,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_ratio,runtime_seconds
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,hungarian_astar,15,20,0.2,0.0,5,0,,1,25,20,259.0,12,0,0,0.0,3.4370964179979637
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,manhattan_greedy,15,20,0.2,0.0,5,0,,1,21,20,313.0,10,2,0,0.6222222222222222,0.049660026998026296
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,path_cost_greedy,15,20,0.2,0.0,5,0,,1,21,20,311.0,10,4,0,0.6190476190476191,1.6914041109994287
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,hungarian_astar,15,20,0.2,0.0,5,0,,1,18,20,173.0,15,0,0,0.0,1.605053623992717
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,manhattan_greedy,15,20,0.2,0.0,5,0,,1,26,20,371.0,12,19,0,0.6153846153846154,0.093063603999326
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,path_cost_greedy,15,20,0.2,0.0,5,0,,1,30,20,444.0,13,6,0,0.6844444444444444,2.4093805619922932
23,07934270464130f11474705e989b5f024181a376da2d424144333bd097c9b727,hungarian_astar,15,20,0.2,0.0,5,0,,1,19,20,175.0,15,0,0,0.0,1.7513663610006915
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,manhattan_greedy,15,20,0.2,0.0,5,0,,1,33,20,478.0,14,17,0,0.694949494949495,0.25779769400833175
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,path_cost_greedy,15,20,0.2,0.0,5,0,,1,33,20,469.0,13,26,0,0.7232323232323232,2.6534690240077907
24,547dea9c1e76cff0b352f8b7a622b050c74691bfc473f9cdfc5738bcbdda3834,hungarian_astar,15,20,0.2,0.0,5,0,,1,21,20,168.0,13,0,0,0.0,2.329722757989657
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,manhattan_greedy,15,20,0.2,0.0,5,0,,1,27,20,394.0,12,11,0,0.6592592592592592,0.17164589901221916
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,path_cost_greedy,15,20,0.2,0.0,5,0,,1,27,20,394.0,12,11,0,0.6962962962962963,3.576900244006538
25,87d1f2ff502e93aca75f40d827d39dbc3e6579c0fb538c1a6b352c45b5472fbc,hungarian_astar,15,20,0.2,0.0,5,0,,1,23,20,166.0,14,3,0,0.0,3.8012568589911098
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,manhattan_greedy,15,20,0.2,0.0,5,0,,1,36,20,537.0,9,3,0,0.7203703703703703,0.20694883300166111
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,path_cost_greedy,15,20,0.2,0.0,5,0,,1,36,20,533.0,9,7,0,0.7092592592592593,4.80973551099305
26,dd46e93ac1946a1c9502789c39673df427af893168b0309f4126b92f1df066fd,hungarian_astar,15,20,0.2,0.0,5,0,,1,30,20,315.0,12,0,0,0.0,4.488548509005341
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,manhattan_greedy,15,20,0.2,0.0,5,0,,1,32,20,463.0,12,17,0,0.65625,0.1689442499919096
27,157c33620474ede024bb19583b72591c7148ea5ef66362319bb1b03dff946b3c,path_cost_greedy,15,20,0.2,0.0,5,0,,1,45,20,642.0,12,33,0,0.7881481481481482,4.013292544987053
