seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,local_repair_calls,lock_escalations,path_cost_evaluations,successful_astar_queries,unreachable_astar_queries
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.0,,local_repair,1,25,175.0,2,0.0,0.24228330999903847,25,3,3,0,321,321,0
14,77b4aaca64e2ce9712d122b4d8dfe6bf8aa2e568d72a19493177363870fe1597,0.0,,lock_aware,1,20,167.0,2,0.0,1.059417434007628,20,15,2,14,1521,1521,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.0,,repeated,1,22,172.0,0,0.0,1.9972517639980651,22,22,0,0,2730,2730,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.0,,event_global,1,22,172.0,0,0.0,1.493545595993055,22,12,0,0,1920,1920,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.0,,local_repair,0,500,186.0,1442,0.0,0.8325211720075458,500,4,4,0,317,317,0
15,9375cfe2eec4b264788eb9d8553e12931a7047555fa3632e2a5436593ff11ae1,0.0,,lock_aware,1,22,185.0,2,0.0,1.5609435510123149,22,18,3,17,1997,1997,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.0,,repeated,1,17,146.0,0,0.0,1.9343779449991416,17,17,0,0,2370,2370,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.0,,event_global,1,17,146.0,0,0.0,1.5493650450080168,17,13,0,0,1845,1845,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.0,,local_repair,1,21,162.0,0,0.0,0.2673706130008213,21,3,3,0,319,319,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.0,,lock_aware,1,17,146.0,0,0.0,1.5675308759964537,17,14,2,13,1609,1609,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.0,,repeated,1,26,189.0,0,0.0,2.1168817069992656,26,26,0,0,3105,3105,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.0,,event_global,1,26,189.0,0,0.0,1.5093527840072056,26,15,0,0,2280,2280,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.0,,local_repair,0,500,231.0,487,0.0,0.42684480600291863,500,5,5,0,317,317,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.0,,lock_aware,1,24,181.0,0,0.0,1.0890062089893036,24,19,4,18,1697,1697,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.0,,repeated,1,22,187.0,4,0.0,2.2587344350031344,22,22,0,0,3090,3090,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.0,,event_global,1,22,187.0,4,0.0,1.7393701289984165,22,14,0,0,2265,2265,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.0,,local_repair,0,500,228.0,948,0.0,0.6533942019887036,500,4,4,0,317,317,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.0,,lock_aware,1,22,191.0,5,0.0,1.4621831230033422,22,17,3,16,1907,1907,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.0,,repeated,1,25,216.0,2,0.0,2.3880171030032216,25,25,0,0,3525,3525,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.0,,event_global,1,25,216.0,2,0.0,1.818491856000037,25,16,0,0,2610,2610,0
