algorithm,seed,obstacle_density,success,iterations,completed_tasks,total_distance,productive_agents,blocked_moves,unreachable_plans,redundant_target_events,redundant_target_ratio
path_cost_greedy,22,0.05,True,23,20,340.0,11,5,0,228,0.6608695652173913
path_cost_greedy,23,0.05,True,48,20,681.0,12,39,0,582,0.8083333333333333
path_cost_greedy,24,0.05,True,26,20,371.0,10,19,0,255,0.6538461538461539
path_cost_greedy,25,0.05,True,25,20,372.0,12,3,0,227,0.6053333333333333
path_cost_greedy,26,0.05,True,42,20,622.0,9,8,0,506,0.8031746031746032
path_cost_greedy,27,0.05,True,28,20,417.0,13,3,0,321,0.7642857142857142
path_cost_greedy,28,0.05,True,37,20,541.0,11,14,0,431,0.7765765765765765
path_cost_greedy,29,0.05,True,33,20,480.0,11,15,0,343,0.692929292929293
manhattan_greedy,0,0.1,True,42,20,607.0,12,23,0,492,0.780952380952381
manhattan_greedy,1,0.1,True,25,20,364.0,11,11,0,252,0.672
manhattan_greedy,2,0.1,True,31,20,450.0,11,15,0,328,0.7053763440860215
manhattan_greedy,3,0.1,True,24,20,347.0,10,13,0,243,0.675
manhattan_greedy,4,0.1,True,27,20,398.0,10,7,0,286,0.7061728395061728
manhattan_greedy,5,0.1,True,18,20,265.0,11,5,0,158,0.5851851851851851
manhattan_greedy,6,0.1,True,36,20,522.0,10,18,0,396,0.7333333333333333
manhattan_greedy,7,0.1,True,18,20,262.0,12,8,0,132,0.4888888888888889
manhattan_greedy,8,0.1,True,46,20,637.0,11,53,0,563,0.8159420289855073
manhattan_greedy,9,0.1,True,39,20,568.0,12,17,0,443,0.7572649572649572
manhattan_greedy,10,0.1,True,25,20,368.0,13,7,0,269,0.7173333333333334
manhattan_greedy,11,0.1,True,35,20,500.0,11,25,0,394,0.7504761904761905
manhattan_greedy,12,0.1,True,26,20,374.0,10,16,0,259,0.6641025641025641
manhattan_greedy,13,0.1,True,36,20,523.0,10,17,0,394,0.7296296296296296
manhattan_greedy,14,0.1,True,36,20,521.0,8,19,0,392,0.725925925925926
manhattan_greedy,15,0.1,True,34,20,494.0,10,16,0,367,0.7196078431372549
manhattan_greedy,16,0.1,True,27,20,403.0,8,2,0,269,0.6641975308641975
manhattan_greedy,17,0.1,True,26,20,371.0,11,19,0,252,0.6461538461538462
manhattan_greedy,18,0.1,True,23,20,335.0,12,10,0,214,0.6202898550724638
manhattan_greedy,19,0.1,True,34,20,502.0,12,8,0,368,0.7215686274509804
manhattan_greedy,20,0.1,True,28,20,413.0,9,7,0,272,0.6476190476190476
manhattan_greedy,21,0.1,True,23,20,340.0,11,5,0,203,0.5884057971014492
manhattan_greedy,22,0.1,True,32,20,471.0,13,9,0,349,0.7270833333333333
manhattan_greedy,23,0.1,True,30,20,436.0,10,14,0,326,0.7244444444444444
manhattan_greedy,24,0.1,True,43,20,600.0,11,45,0,507,0.786046511627907
manhattan_greedy,25,0.1,True,30,20,422.0,13,28,0,298,0.6622222222222223
manhattan_greedy,26,0.1,True,31,20,459.0,9,6,0,327,0.7032258064516129
manhattan_greedy,27,0.1,True,21,20,309.0,11,6,0,231,0.7333333333333333
manhattan_greedy,28,0.1,True,51,20,722.0,11,43,0,622,0.8130718954248366
manhattan_greedy,29,0.1,True,30,20,441.0,12,9,0,304,0.6755555555555556
path_cost_greedy,0,0.1,True,37,20,541.0,12,14,0,430,0.7747747747747747
path_cost_greedy,1,0.1,True,25,20,361.0,12,14,0,240,0.64
path_cost_greedy,2,0.1,True,31,20,456.0,11,9,0,339,0.7290322580645161
path_cost_greedy,3,0.1,True,24,20,347.0,10,13,0,238,0.6611111111111111
path_cost_greedy,4,0.1,True,26,20,382.0,10,8,0,280,0.717948717948718
path_cost_greedy,5,0.1,True,18,20,265.0,11,5,0,158,0.5851851851851851
path_cost_greedy,6,0.1,True,36,20,520.0,10,20,0,396,0.7333333333333333
path_cost_greedy,7,0.1,True,18,20,268.0,12,2,0,144,0.5333333333333333
path_cost_greedy,8,0.1,True,34,20,483.0,11,27,0,383,0.7509803921568627
path_cost_greedy,9,0.1,True,39,20,567.0,12,18,0,436,0.7452991452991453
path_cost_greedy,10,0.1,True,25,20,369.0,12,6,0,275,0.7333333333333333
path_cost_greedy,11,0.1,True,37,20,535.0,9,20,0,429,0.772972972972973
path_cost_greedy,12,0.1,True,26,20,375.0,10,15,0,258,0.6615384615384615
path_cost_greedy,13,0.1,True,36,20,523.0,10,17,0,394,0.7296296296296296
