algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents
fixed_pso,21,0.4,6,True,19,20,503.38268739650005,11
fixed_pso,22,0.4,6,True,14,20,382.50072770372174,12
fixed_pso,23,0.4,6,True,10,20,280.1075887291024,12
fixed_pso,24,0.4,6,True,17,20,453.30764983796985,11
fixed_pso,25,0.4,6,True,11,20,302.4989540796261,12
fixed_pso,26,0.4,6,True,10,20,287.073159924592,12
fixed_pso,27,0.4,6,True,9,20,249.44746170191542,13
fixed_pso,28,0.4,6,True,11,20,305.3730273606428,12
fixed_pso,29,0.4,6,True,23,20,611.2507546555172,12
dynamic_pso,0,0.4,6,True,17,20,454.8888516213675,10
dynamic_pso,1,0.4,6,True,12,20,334.41262691406587,12
dynamic_pso,2,0.4,6,True,14,20,367.18438864566224,14
dynamic_pso,3,0.4,6,True,11,20,300.42908158306483,11
dynamic_pso,4,0.4,6,True,9,20,250.19513640674086,13
dynamic_pso,5,0.4,6,True,12,20,330.67960903693086,12
dynamic_pso,6,0.4,6,True,12,20,338.9156171128903,13
dynamic_pso,7,0.4,6,True,19,20,491.4789500069001,12
dynamic_pso,8,0.4,6,True,15,20,401.55637994957056,12
dynamic_pso,9,0.4,6,True,11,20,310.1999304920842,10
dynamic_pso,10,0.4,6,True,13,20,354.7333077701826,11
dynamic_pso,11,0.4,6,True,12,20,315.490235402495,11
dynamic_pso,12,0.4,6,True,9,20,260.5963161539019,11
dynamic_pso,13,0.4,6,True,11,20,298.02449626977364,12
dynamic_pso,14,0.4,6,True,9,20,253.03347743642564,12
dynamic_pso,15,0.4,6,True,14,20,372.2228650089229,10
dynamic_pso,16,0.4,6,True,11,20,300.57494576584594,12
dynamic_pso,17,0.4,6,True,7,20,201.13125518397658,11
dynamic_pso,18,0.4,6,True,17,20,457.18155310917416,11
dynamic_pso,19,0.4,6,True,14,20,383.91178250407035,8
dynamic_pso,20,0.4,6,True,20,20,537.6794948268506,9
dynamic_pso,21,0.4,6,True,19,20,499.82905508873336,12
dynamic_pso,22,0.4,6,True,14,20,379.6609590922165,12
dynamic_pso,23,0.4,6,True,11,20,299.9414798961186,11
dynamic_pso,24,0.4,6,True,19,20,492.1869007804854,11
dynamic_pso,25,0.4,6,True,11,20,297.02377013850855,12
dynamic_pso,26,0.4,6,True,11,20,299.5549161868187,11
dynamic_pso,27,0.4,6,True,9,20,244.52834804951505,12
dynamic_pso,28,0.4,6,True,10,20,278.7810402454974,11
dynamic_pso,29,0.4,6,True,23,20,605.776232599045,12
greedy,0,0.6,9,True,15,20,318.7483191123164,9
greedy,1,0.6,9,True,9,20,219.1278785720751,12
greedy,2,0.6,9,True,9,20,212.38134896759837,12
greedy,3,0.6,9,True,9,20,215.43663855928372,12
greedy,4,0.6,9,True,15,20,307.8441580546994,12
greedy,5,0.6,9,True,11,20,246.88369883372954,11
