seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
18,88ffb01f3178f53680bab06c53bb669bdc388e664eaa0a386f9a575c7ce35aa3,hungarian_astar,5,10,0.2,1,40,151.0,5,0,0.0,0.555502510003862
19,066727158eb5679d45abb9ec094ad2176b4596252aef41fd452abd4156a20879,manhattan_greedy,5,10,0.2,1,46,227.0,5,3,0.4652173913043478,0.06962288499926217
19,066727158eb5679d45abb9ec094ad2176b4596252aef41fd452abd4156a20879,path_cost_greedy,5,10,0.2,1,46,227.0,5,3,0.4434782608695652,0.7855787669977872
19,066727158eb5679d45abb9ec094ad2176b4596252aef41fd452abd4156a20879,hungarian_astar,5,10,0.2,1,46,149.0,5,0,0.0,0.7565807900100481
20,69ecb70e701608b3d752eeea7695dcfce69749fb8c3d2791e29c1a79e851734b,manhattan_greedy,5,10,0.2,1,38,187.0,5,3,0.4,0.03575907100457698
20,69ecb70e701608b3d752eeea7695dcfce69749fb8c3d2791e29c1a79e851734b,path_cost_greedy,5,10,0.2,1,38,187.0,5,3,0.4,0.6222390809998615
20,69ecb70e701608b3d752eeea7695dcfce69749fb8c3d2791e29c1a79e851734b,hungarian_astar,5,10,0.2,1,38,121.0,5,0,0.0,0.5400281460024416
21,54d715039644515a2628f1c2a13c0c69403735768728b41fabafb887cb4d4787,manhattan_greedy,5,10,0.2,1,74,368.0,4,2,0.6297297297297297,0.31201574800070375
21,54d715039644515a2628f1c2a13c0c69403735768728b41fabafb887cb4d4787,path_cost_greedy,5,10,0.2,1,74,370.0,4,0,0.5864864864864865,1.7580390629882459
21,54d715039644515a2628f1c2a13c0c69403735768728b41fabafb887cb4d4787,hungarian_astar,5,10,0.2,1,50,185.0,5,0,0.0,1.295059387004585
22,8d2a48a57b4b53e13df46dcd657d52f0e389f7bf4aac9507ae9b2b160f469636,manhattan_greedy,5,10,0.2,1,41,205.0,5,0,0.4878048780487805,0.10645784900407307
22,8d2a48a57b4b53e13df46dcd657d52f0e389f7bf4aac9507ae9b2b160f469636,path_cost_greedy,5,10,0.2,1,32,160.0,5,0,0.35625,0.6234204740030691
22,8d2a48a57b4b53e13df46dcd657d52f0e389f7bf4aac9507ae9b2b160f469636,hungarian_astar,5,10,0.2,1,32,108.0,5,0,0.0,0.6172171299986076
23,1a27521b8721f35d328dd79b67781cd9fe128a712f0c0ff4b3e5a739adce399e,manhattan_greedy,5,10,0.2,1,116,542.0,5,38,0.7672413793103449,0.17204978500376455
23,1a27521b8721f35d328dd79b67781cd9fe128a712f0c0ff4b3e5a739adce399e,path_cost_greedy,5,10,0.2,1,117,538.0,5,47,0.7675213675213676,1.9278785369970137
23,1a27521b8721f35d328dd79b67781cd9fe128a712f0c0ff4b3e5a739adce399e,hungarian_astar,5,10,0.2,1,57,192.0,5,0,0.0,1.1049061230005464
24,6e057f21c0e053994fd2252f7360129408c17194e4c1ce35857a180c034c2d04,manhattan_greedy,5,10,0.2,1,52,256.0,5,4,0.4846153846153846,0.10401463600283023
24,6e057f21c0e053994fd2252f7360129408c17194e4c1ce35857a180c034c2d04,path_cost_greedy,5,10,0.2,1,52,256.0,4,4,0.5461538461538461,1.0259825120010646
24,6e057f21c0e053994fd2252f7360129408c17194e4c1ce35857a180c034c2d04,hungarian_astar,5,10,0.2,1,41,147.0,5,2,0.0,0.8396897670027101
25,9e1c8d538f33384b590f5d0a337a2e3db80ce30483b4b7f6303afd6d3caa9a1d,manhattan_greedy,5,10,0.2,1,85,422.0,4,3,0.7129411764705882,0.4748734190070536
25,9e1c8d538f33384b590f5d0a337a2e3db80ce30483b4b7f6303afd6d3caa9a1d,path_cost_greedy,5,10,0.2,1,88,423.0,5,17,0.7431818181818182,1.8764662349858554
25,9e1c8d538f33384b590f5d0a337a2e3db80ce30483b4b7f6303afd6d3caa9a1d,hungarian_astar,5,10,0.2,1,56,164.0,5,0,0.0,1.5273171900043963
26,c3b355f87da2398743cbcbb19aa97a5cfa037c575e2baedd4719e9160a70ca1e,manhattan_greedy,5,10,0.2,1,53,256.0,4,9,0.5660377358490566,0.05723979500180576
26,c3b355f87da2398743cbcbb19aa97a5cfa037c575e2baedd4719e9160a70ca1e,path_cost_greedy,5,10,0.2,1,51,250.0,4,5,0.5725490196078431,0.5801234989921795
26,c3b355f87da2398743cbcbb19aa97a5cfa037c575e2baedd4719e9160a70ca1e,hungarian_astar,5,10,0.2,1,39,147.0,4,0,0.0,0.5738164179929299
27,9e49f51117a6699726f767a1aa08c64a76a9f33847a110d0e9b77b662d6eb8b5,manhattan_greedy,5,10,0.2,1,53,260.0,4,5,0.5811320754716981,0.14175260199408513
27,9e49f51117a6699726f767a1aa08c64a76a9f33847a110d0e9b77b662d6eb8b5,path_cost_greedy,5,10,0.2,1,53,258.0,4,7,0.5509433962264151,1.1985987959924387
27,9e49f51117a6699726f767a1aa08c64a76a9f33847a110d0e9b77b662d6eb8b5,hungarian_astar,5,10,0.2,1,50,162.0,5,2,0.0,1.1280309389985632
28,037e2942e28dc13c99296de83ac6bcb88a61304a618cf940989b6dec7dada526,manhattan_greedy,5,10,0.2,1,59,292.0,5,3,0.6203389830508474,0.06200368900317699
28,037e2942e28dc13c99296de83ac6bcb88a61304a618cf940989b6dec7dada526,path_cost_greedy,5,10,0.2,1,51,253.0,5,2,0.5686274509803921,0.43494293199910317
