seed,scenario_fingerprint,algorithm,num_agents,num_tasks,obstacle_density,success,iterations,total_distance,productive_agents,blocked_moves,redundant_target_ratio,runtime_seconds
15,ccd12b12d1d62d677cbd89a083b90e25ca079fbc635058801cd86facd3fb1791,hungarian_astar,15,20,0.0,1,21,164.0,12,0,0.0,2.1538294609999866
16,e63c3482033923c2af25ce07d81b89f91a995e7b2a0985a259a722143762f824,manhattan_greedy,15,20,0.0,1,26,386.0,12,4,0.6948717948717948,0.1477926630032016
16,e63c3482033923c2af25ce07d81b89f91a995e7b2a0985a259a722143762f824,path_cost_greedy,15,20,0.0,1,26,386.0,12,4,0.6948717948717948,3.164101103997382
16,e63c3482033923c2af25ce07d81b89f91a995e7b2a0985a259a722143762f824,hungarian_astar,15,20,0.0,1,19,163.0,12,0,0.0,2.947172975000285
17,3bfc7f9522a009d0bcd661c65d54ffe0a1a7f32c4aa2559e87464926e8e7a473,manhattan_greedy,15,20,0.0,1,40,590.0,9,10,0.775,0.39401871799782384
17,3bfc7f9522a009d0bcd661c65d54ffe0a1a7f32c4aa2559e87464926e8e7a473,path_cost_greedy,15,20,0.0,1,40,590.0,9,10,0.775,4.413988699998299
17,3bfc7f9522a009d0bcd661c65d54ffe0a1a7f32c4aa2559e87464926e8e7a473,hungarian_astar,15,20,0.0,1,18,164.0,13,1,0.0,2.350051444998826
18,902998a4d1861ba9a602c081778dcf9283aacecdf21f67add4b80af8c19154a9,manhattan_greedy,15,20,0.0,1,18,261.0,14,9,0.562962962962963,0.05984308900224278
18,902998a4d1861ba9a602c081778dcf9283aacecdf21f67add4b80af8c19154a9,path_cost_greedy,15,20,0.0,1,18,261.0,14,9,0.562962962962963,2.154572007006209
18,902998a4d1861ba9a602c081778dcf9283aacecdf21f67add4b80af8c19154a9,hungarian_astar,15,20,0.0,1,14,128.0,15,1,0.0,1.9893813229937223
19,74d4b0e676285be29a2475adf2879fcf43e647ccf00393ff52d3b25e944a64ad,manhattan_greedy,15,20,0.0,1,32,426.0,9,54,0.7541666666666667,0.14906293300009565
19,74d4b0e676285be29a2475adf2879fcf43e647ccf00393ff52d3b25e944a64ad,path_cost_greedy,15,20,0.0,1,32,426.0,9,54,0.7541666666666667,2.315970511001069
