seed,scenario_fingerprint,failure_rate,failed_agent_ids,method,success,iterations,total_distance,blocked_moves,redundancy,runtime_seconds,assignment_requests,global_assignment_calls,event_replans,periodic_replans
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.0,,repeated,1,17,146.0,0,0.0,2.2187080480071018,17,17,nan,nan
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.0,,event_global,1,17,146.0,0,0.0,1.6676768350007478,17,13,12,0
16,a049ff13f7b7a5a251f4dd66aa4bd77c6dbd438d6787b6d95a6c1665d8025a53,0.0,,local_repair,1,21,162.0,0,0.0,0.2507282370061148,21,3,nan,nan
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.0,,repeated,1,26,189.0,0,0.0,2.3906704139953945,26,26,nan,nan
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.0,,event_global,1,26,189.0,0,0.0,1.8043548019923037,26,15,14,0
17,bd48f9d88a81de539cd6c36e4efa1249e5a6f957b5f67f49c26e56c3df02bfde,0.0,,local_repair,0,500,231.0,487,0.0,0.399021894991165,500,5,nan,nan
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.0,,repeated,1,22,187.0,4,0.0,2.568232999998145,22,22,nan,nan
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.0,,event_global,1,22,187.0,4,0.0,2.0312479219865054,22,14,13,0
18,2fedb82381346e79fca0ea0fe6547f431b152e58447bd4bf3d808e5d8635a789,0.0,,local_repair,0,500,228.0,948,0.0,0.6176247999974294,500,4,nan,nan
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.0,,repeated,1,25,216.0,2,0.0,2.4606848399998853,25,25,nan,nan
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.0,,event_global,1,25,216.0,2,0.0,1.8264593280036934,25,16,15,0
19,b2638726003cc78f41e4c81146cca003e48e283ff1ea63934f24b69c029f00d2,0.0,,local_repair,1,39,258.0,4,0.0,0.2736263139959192,39,6,nan,nan
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.0,,repeated,1,28,222.0,0,0.0,2.3013098149967846,28,28,nan,nan
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.0,,event_global,1,28,222.0,0,0.0,1.2930010389973177,28,12,11,0
20,b1a14a7f0c8df2360dbb0feeb1e68684fdb31869f272dff1da2983d0b115d4ee,0.0,,local_repair,1,36,241.0,2,0.0,0.24850954799330793,36,5,nan,nan
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.0,,repeated,1,25,259.0,0,0.0,3.8718115100055,25,25,nan,nan
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.0,,event_global,1,25,259.0,0,0.0,2.1510068500065245,25,14,13,0
21,00bdac501a4c9641257628d2b27440d7406eec5b3ef0acb2a0c00bff5acaf731,0.0,,local_repair,0,500,325.0,442,0.0,0.6813921870052582,500,5,nan,nan
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.0,,repeated,1,18,173.0,0,0.0,1.958916211995529,18,18,nan,nan
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.0,,event_global,1,18,173.0,0,0.0,1.3159513649879955,18,11,10,0
22,d902a0198fd731553b9101de4d11d0254542872b640ca6b3b06eea2ab489b9dd,0.0,,local_repair,1,31,196.0,0,0.0,0.2173417559970403,31,5,nan,nan
