algorithm,seed,failure_rate,failed_agents,success,iterations,tasks_completed,total_distance,productive_agents,surviving_agents,distance_per_task,distance_per_surviving_agent,tasks_per_surviving_agent
greedy,1,0.4,6,True,10,20,293.2402128545306,12,9,14.662010642726532,32.58224587272562,2.2222222222222223
greedy,2,0.4,6,True,6,20,188.52821698404037,14,9,9.426410849202018,20.947579664893375,2.2222222222222223
greedy,3,0.4,6,True,9,20,265.5047919646601,12,9,13.275239598233005,29.50053244051779,2.2222222222222223
greedy,4,0.4,6,True,9,20,254.2190929050726,12,9,12.710954645253631,28.2465658783414,2.2222222222222223
greedy,5,0.4,6,True,9,20,264.91760614813813,12,9,13.245880307406907,29.43528957201535,2.2222222222222223
greedy,6,0.4,6,True,13,20,368.0881983619564,10,9,18.40440991809782,40.898688706884045,2.2222222222222223
greedy,7,0.4,6,True,15,20,418.60080560360814,12,9,20.930040280180407,46.51120062262313,2.2222222222222223
greedy,8,0.4,6,True,12,20,345.342629126164,10,9,17.2671314563082,38.37140323624045,2.2222222222222223
greedy,9,0.4,6,True,10,20,293.906718438389,9,9,14.695335921919451,32.65630204870989,2.2222222222222223
greedy,10,0.4,6,True,11,20,316.4171640842699,10,9,15.820858204213497,35.15746267602999,2.2222222222222223
greedy,11,0.4,6,True,10,20,291.9590439419451,12,9,14.597952197097253,32.439893771327235,2.2222222222222223
greedy,12,0.4,6,True,12,20,342.5957250787498,9,9,17.12978625393749,38.06619167541665,2.2222222222222223
greedy,13,0.4,6,True,11,20,312.55067267500783,14,9,15.627533633750392,34.727852519445314,2.2222222222222223
greedy,14,0.4,6,True,11,20,313.0286587094276,11,9,15.65143293547138,34.78096207882529,2.2222222222222223
greedy,15,0.4,6,True,14,20,386.63193108680207,10,9,19.331596554340102,42.95910345408912,2.2222222222222223
greedy,16,0.4,6,True,13,20,360.15820161871443,12,9,18.007910080935723,40.017577957634934,2.2222222222222223
greedy,17,0.4,6,True,6,20,192.56756458273716,10,9,9.628378229136858,21.396396064748572,2.2222222222222223
greedy,18,0.4,6,True,12,20,340.2143410465563,10,9,17.010717052327813,37.801593449617364,2.2222222222222223
greedy,19,0.4,6,True,12,20,340.666763509013,9,9,17.03333817545065,37.851862612112555,2.2222222222222223
greedy,20,0.4,6,True,17,20,468.5095084916831,11,9,23.425475424584157,52.05661205463146,2.2222222222222223
greedy,21,0.4,6,True,16,20,436.70054527174335,10,9,21.83502726358717,48.522282807971486,2.2222222222222223
